Date,Type,Area,Ward,Candidate,Position,Votes,Won
June 22 2004,By-Election,St. Boniface,,Tom SCOTT,Office of Councillor,2003,No
October 27 2010,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Roxane DELBRIDGE,Office of School Trustee,2213,No
October 15 2003,By-Election,Louis Riel School Division,3,Jeff PROVOST,Office of School Trustee,181,No
October 27 2010,General Election,River East Transcona School Division,3,A.J. FALK,Office of School Trustee,1096,No
October 23 1974,General Election,Jefferson,,Don PLOWMAN,Office of Councillor,171,No
October 23 1974,General Election,St. James-Assiniboia School Division,,Roy BOLIN,Office of School Trustee,2115,No
October 26 1989,General Election,River East School Division,2,Peter GRAHAM,Office of School Trustee,1692,No
October 26 1989,General Election,Seven Oaks School Division,3,Claudia SARBIT,Office of School Trustee,3409,Yes
October 26 1995,General Election,Transcona-Springfield School Division,1,Betty WATTS,Office of School Trustee,2645,Yes
June 20 1979,By-Election,Winnipeg,,Don GERRIE,Office of Mayor,1274,No
October 26 1983,General Election,Winnipeg School Division,3,Ben KARASINSKI,Office of School Trustee,3444,No
October 28 1992,General Election,Norwood School Division,,Brenda LESLIE,Office of School Trustee,2605,Yes
October 28 1998,General Election,Point Douglas,,Darren BUSCH,Office of Councillor,260,No
October 26 1983,General Election,Kildonan Park,,Bob WESTMACOTT,Office of Councillor,1549,No
October 23 1974,General Election,St. James-Assiniboia School Division,,Ron JOHNSON,Office of School Trustee,5521,Yes
October 26 1977,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,George KEYS,Office of School Trustee,488,No
October 22 2014,General Election,Louis Riel School Division,3,Sandy NEMETH,Office of School Trustee,7394,Yes
October 28 1998,General Election,River East School Division,2,Khalid MAHMOOD,Office of School Trustee,1469,No
October 28 1992,General Election,Transcona-Springfield School Division,1,Theresa DUCHARME,Office of School Trustee,813,No
October 27 2010,General Election,Winnipeg School Division,1,Joyce BATEMAN,Office of School Trustee,13862,Yes
October 23 1974,General Election,Ross House,,Gerry NEAULT,Office of Councillor,134,No
October 26 1995,General Election,Winnipeg School Division,2,Peter KUBRAKOVICH,Office of School Trustee,1174,No
October 26 1995,General Election,Winnipeg School Division,3,Mike BABINSKY,Office of School Trustee,6463,Yes
October 28 1992,General Election,Winnipeg,,Menardo A. CANEDA,Office of Mayor,534,No
October 27 2010,General Election,Mynarski,,Trevor MUELLER,Office of Councillor,297,No
October 26 1995,General Election,Point Douglas,,Michelle SCOTT,Office of Councillor,1282,No
October 26 1989,General Election,Norwood School Division,,Bryan CINQ-MARS,Office of School Trustee,816,No
October 26 1977,General Election,Jefferson,,John MATHEWS,Office of Councillor,277,No
October 26 1983,General Election,Winnipeg,,Chris SWAN,Office of Mayor,2242,No
October 25 2006,General Election,Louis Riel School Division,2,Marilyn SEGUIRE,Office of School Trustee,4637,Yes
October 26 1995,General Election,River East School Division,1,Gail SCHEER,Office of School Trustee,2880,Yes
October 28 1992,General Election,Winnipeg,,Rudolph PARKER,Office of Mayor,267,No
October 25 2006,General Election,Louis Riel School Division,3,Robert PAGE,Office of School Trustee,3991,No
October 25 2006,General Election,Winnipeg School Division,2,Paula KEIRSTEAD,Office of School Trustee,2840,No
October 25 2006,General Election,Pembina Trails School Division,2,Sue CLAYTON,Office of School Trustee,7720,Yes
October 22 2014,General Election,Winnipeg School Division,2,Jennefer LARSEN,Office of School Trustee,2001,No
October 26 1989,General Election,Kildonan Park,,Mel OKALEY,Office of Councillor,194,No
October 28 1998,General Election,River East School Division,2,Vicki LAZARUK,Office of School Trustee,4565,Yes
October 28 1998,General Election,Transcona-Springfield School Division,1,Colleen CARSWELL,Office of School Trustee,3771,Yes
October 22 1986,General Election,Springfield Heights,,Brent AUBERTIN,Office of Councillor,1191,No
October 23 1974,General Election,St. James-Assiniboia School Division,,Janos PASZTUSICS,Office of School Trustee,725,No
October 22 2014,General Election,St. James-Brooklands,,Scott GILLINGHAM,Office of Councillor,5174,Yes
October 26 1977,General Election,Grant's Mill,,Bill HALLONQUIST,Office of Councillor,2283,No
October 23 2002,General Election,Seven Oaks School Division,2,Ramona GALLOS,Office of School Trustee,4500,Yes
October 22 1986,General Election,St. Vital School Division,,Larry VALKA,Office of School Trustee,1517,No
October 26 1977,General Election,Pembina,,Don SMITH,Office of Councillor,2228,Yes
October 28 1992,General Election,River East School Division,3,Brian OLYNIK,Office of School Trustee,4126,Yes
October 26 1995,General Election,Point Douglas,,Tom CANEDA,Office of Councillor,403,No
October 26 1983,General Election,River East School Division,3,Allen ROUSE,Office of School Trustee,3895,Yes
October 25 2006,General Election,Pembina Trails School Division,1,Dave KINSLEY,Office of School Trustee,1302,No
October 23 1974,General Election,Arlington,,Nicholas MALANCHUK,Office of Councillor,507,No
October 22 1986,General Election,Seine Valley,,Glen HEWITT,Office of Councillor,613,No
October 27 2010,General Election,Louis Riel School Division,4,Hugh COBURN,Office of School Trustee,0,Yes
October 26 1995,General Election,Norwood School Division,,Ryan KANGAS,Office of School Trustee,2204,Yes
October 26 1977,General Election,Assiniboine South School Division,3,Adrian POTTER,Office of School Trustee,383,No
October 26 1977,General Election,Charleswood,,Bill KNIGHT,Office of Councillor,1672,No
October 28 1992,General Election,Winnipeg School Division,3,Roman YERENIUK,Office of School Trustee,6601,Yes
October 26 1977,General Election,Kildonan Park,,George STREWCHUK,Office of Councillor,368,No
October 22 1986,General Election,Seven Oaks School Division,2,Noel CAMUNGOL,Office of School Trustee,1016,No
October 23 1974,General Election,Riverview,,Don GERRIE,Office of Councillor,745,Yes
October 28 1992,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Don SMITH,Office of School Trustee,2804,No
October 28 1992,General Election,Winnipeg School Division,2,Kathy MALLETT,Office of School Trustee,6506,Yes
October 22 1986,General Election,St. Vital School Division,,Kathy WERESTIUK,Office of School Trustee,1735,No
October 28 1998,General Election,St. Boniface School Division,2,Rachel PLANTE-LAFRANCE,Office of School Trustee,1271,No
October 23 1974,General Election,St. James-Assiniboia School Division,,Aidan CONKLIN,Office of School Trustee,4191,Yes
October 22 2014,General Election,St. Charles,,Grant NORDMAN,Office of Councillor,3972,No
October 26 1977,General Election,Winnipeg School Division,3,Luba FEDORKIW,Office of School Trustee,6233,Yes
October 22 1986,General Election,Assiniboine South School Division,2,Dave MORRIS,Office of School Trustee,1340,Yes
October 26 1989,General Election,Winnipeg School Division,3,Chris KOWALSKI,Office of School Trustee,5311,No
October 22 1986,General Election,Fort Garry School Division,2,Ralph PEARCE,Office of School Trustee,438,No
October 26 1983,General Election,River East School Division,3,William MARTINS,Office of School Trustee,2909,No
October 25 2006,General Election,Old Kildonan,,Carl OSATO,Office of Councillor,421,No
October 28 1992,General Election,River East School Division,3,Don TYMKO,Office of School Trustee,3999,No
October 22 2014,General Election,Pembina Trails School Division,2,Andrew HARDER,Office of School Trustee,4627,No
October 23 2002,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Peter CARNEY,Office of School Trustee,3262,Yes
October 26 1995,General Election,Seven Oaks School Division,2,Elisa SCHELLMANN,Office of School Trustee,1636,No
October 22 1986,General Election,St. Vital School Division,,Mary MULDER,Office of School Trustee,5633,Yes
October 26 1977,General Election,Jefferson,,Leona RADCHUK,Office of Councillor,1174,No
October 23 1974,General Election,Kildonan Park,,Chas BAKER,Office of Councillor,922,No
October 28 1992,General Election,Winnipeg,,Ed HAY,Office of Mayor,374,No
October 27 2010,General Election,Seven Oaks School Division,2,Ben BANSAL,Office of School Trustee,3192,No
October 27 2010,General Election,Winnipeg School Division,2,Rolf SALFERT,Office of School Trustee,2283,No
June 20 1979,By-Election,Winnipeg,,William HAWRYLUK,Office of Mayor,354,No
October 26 1977,General Election,Stevenson,,Marshall HUGHES,Office of Councillor,281,No
October 26 1989,General Election,Fort Garry School Division,3,Liz FOSTER,Office of School Trustee,0,Yes
October 26 1977,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Gerrie HAMMOND,Office of School Trustee,3513,Yes
October 27 2010,General Election,River East Transcona School Division,2,John TOEWS,Office of School Trustee,2570,Yes
February 08 1999,By-Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Peter CARNEY,Office of School Trustee,487,Yes
October 26 1977,General Election,Crescent Heights,,Gary FILMON,Office of Councillor,3472,Yes
October 28 1998,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Dale WINDSOR,Office of School Trustee,1341,No
October 25 2006,General Election,Pembina Trails School Division,1,Colin TURNBULL,Office of School Trustee,1648,No
October 28 1998,General Election,Winnipeg School Division,2,Dee GILES,Office of School Trustee,4102,No
October 26 1977,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Marilyn LETTS,Office of School Trustee,2814,No
October 23 2002,General Election,Daniel McIntyre,,Harvey SMITH,Office of Councillor,6259,Yes
October 27 2010,General Election,River East Transcona School Division,5,Jan ANDERSON,Office of School Trustee,3528,No
October 26 1995,General Election,Elmwood,,Ed MULLIS,Office of Councillor,745,No
October 23 2002,General Election,Louis Riel School Division,3,Brian PRESTON,Office of School Trustee,1388,No
October 25 2006,General Election,Winnipeg School Division,2,Kristine BARR,Office of School Trustee,5456,Yes
October 22 2014,General Election,Seven Oaks School Division,2,Dennis RUGGLES,Office of School Trustee,3312,No
October 28 1998,General Election,Transcona-Springfield School Division,2,Jamie BOYCHUK,Office of School Trustee,2229,Yes
October 22 1986,General Election,Henderson,,Jack SEITZ,Office of Councillor,2036,No
October 23 2002,General Election,Daniel McIntyre,,Art POTVIN,Office of Councillor,374,No
October 26 1983,General Election,Kildonan Park,,Robert MOSKAL,Office of Councillor,1062,No
October 26 1989,General Election,University,,Marcel LAURENDEAU,Office of Councillor,2854,Yes
October 23 2002,General Election,Seven Oaks School Division,2,Bill MCGOWAN,Office of School Trustee,4937,Yes
October 26 1989,General Election,Kildonan Park,,Lynn FILBERT,Office of Councillor,118,No
October 26 1989,General Election,Glenlawn,,Chris SIGURDSON,Office of Councillor,565,No
October 23 2002,General Election,Seven Oaks School Division,3,Ross EADIE,Office of School Trustee,2862,Yes
October 26 1977,General Election,Deer Lodge,,Harry MUNRO,Office of Councillor,688,No
October 22 1986,General Election,St. Boniface School Division,,Hugh COBURN,Office of School Trustee,3358,Yes
October 23 1974,General Election,Strathcona,,Joseph GALONSKY,Office of Councillor,230,No
October 26 1977,General Election,St. Boniface School Division,,Joan BARKER,Office of School Trustee,4737,Yes
October 26 1983,General Election,Henderson,,Jim FARMER,Office of Councillor,1034,No
October 26 1983,General Election,St. Boniface School Division,,Joyce PATTERSON,Office of School Trustee,6685,Yes
October 22 2014,General Election,Louis Riel School Division,4,Justin ST. LOUIS,Office of School Trustee,3582,No
October 22 2014,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Tracey DREXLER,Office of School Trustee,3622,No
October 26 1995,General Election,Transcona,,Gerald BASARAB,Office of Councillor,967,No
October 26 1989,General Election,Elmwood,,Mark MILLER,Office of Councillor,499,No
October 26 1995,General Election,St. Vital,,Lloyd TERRY,Office of Councillor,861,No
October 23 2002,General Election,River East Transcona School Division,4,Jim CARRIGAN,Office of School Trustee,2511,No
October 25 2006,General Election,Winnipeg School Division,3,Robert BUTERNOWSKY,Office of School Trustee,2418,No
October 28 1998,General Election,Winnipeg School Division,3,Henry MCDONALD,Office of School Trustee,2602,No
October 23 2002,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Sandra PATTERSON-GREENE,Office of School Trustee,4143,Yes
October 25 2006,General Election,St. Boniface,,Murray CLIFF,Office of Councillor,485,No
October 28 1992,General Election,St. Boniface School Division,,Jim GARWOOD,Office of School Trustee,4830,Yes
June 24 2008,By-Election,Seven Oaks School Division,2,Bernard BOGUSKI,Office of School Trustee,313,No
October 27 2010,General Election,Pembina Trails School Division,3,Charlotte ROY-JOHNSON,Office of School Trustee,2342,No
October 23 1974,General Election,Winnipeg School Division,1,Keith WILSON,Office of School Trustee,7454,No
October 28 1992,General Election,Charleswood-Fort Garry,,Bill CLEMENT,Office of Councillor,10034,Yes
October 26 1983,General Election,River East School Division,2,Gail MARK,Office of School Trustee,744,No
October 26 1983,General Election,River East School Division,3,Glenn PERKINS,Office of School Trustee,1439,No
October 23 2002,General Election,Louis Riel School Division,1,Louise JOHNSTON,Office of School Trustee,3089,Yes
October 23 1974,General Election,St. Boniface School Division,,Dennis KIENE,Office of School Trustee,1512,No
